Label,Comment
,Nhỏ không học lớn làm content?
,"Không biết các Sếp bên thethao247 có kiểm tra trình độ chuyên môn trước khi tuyển người hay không mà lại phọt đâu ra một ông ""nhõi"" chả biết cái quái gì về lịch sử bóng đá mà lại lên bài mang tính công kích đội bóng khác một cách vô căn cứ như vậy!"
,Có thể đằng ấy muốn nói Arsenal chưa có danh hiệu Europa  League nhưng không có nghĩa là Arsenal chưa từng có danh hiệu CHÂU ÂU nào!
,"Là một trang báo chính thống, là một trong những đầu báo LỚN NHẤT VIỆT NAM, luôn đi đầu về thông tin để nhiều người biết đến nhưng thật hài hước khi lại để một nhân viên lên bài viết THIẾU KIẾN THỨC như vậy."
,"Tôi hy vọng bài viết này đại diện cho những fan Arsenal gửi đến bạn làm cái content này rằng nếu muốn lên bài cà khịa hướng về một đội bóng nào đó thì nhớ UỐN LƯỠI 7 LẦN, TÌM HIỂU THẬT KỸ rồi hẳn lên bài nhé."
,"Có thể bạn chỉ muốn tạo tương tác nhưng vì nó SAI THÔNG TIN nên nó có thể ảnh hưởng rất nhiều đến chính công việc của bạn đang làm và ảnh hưởng lên tư tưởng của những fan bóng đá ""mới"" nữa nên làm ơn NHỚ TÌM HIỂU TRƯỚC KHI LÀM CONTENT!"
,Cho những ai chưa biết lịch sử của Arsenal!
,https://www.facebook.com/photo/?fbid=624784633859079&set=a.179693865034827
,London ra châu âu thì pháo còn kém chel vs tot gà là thật
,"Ếu hiểu sao mình lại thích Tot vô địch hơn là để MU vô địch, có ae nào như tôi k"
,À cay cay cay
,Đứng thứ 17 là nỗi nhục rồi còn khoe cái mẹ gì
,cay ah ??? cay thì ráng kiếm cup đi nhé
,em k hiểu tại sao mn lại thích khịa ars nhiều thế ars là một đội chơi rất hay cầu thủ giỏi và hlv cũng giỏi mc sau khi ăn 3 cũng đưởng xếp ngang hàng mu (đương nhiên vẫn k bằng mu) ars cũng vừa ăn 3 xong mà k thấy có lễ diễu hành bài viết j chúc mừng ars ăn 3
,Nó nói gì sai vậy. Mời Ars post hình cup châu âu đã đạt dc
,"Arsenal đéo đá mà tự nhiên bị lôi vào. Rõ là có tư tưởng cà khịa. Lướt fb thấy tôi chỉ nghĩ là thằng ôn nào đặt bừa tên rồi up bài câu like chứ. Nếu là bài viết của 1 nhà báo thì phải xem lại tư cách. Ví như anh Quang Tùng, anh Long Vũ,... mà lấy tinh … See more"
,Thương Pháo lắm bị nó chơi 1 cú đau...
,"Áp dụng riêng cho năm nay thì đúng mà
ad cay ah"
,Có cup từ thời VN mình còn đag chống Pháp với Mỹ à
,Giải hội chợ ở nước Anh thì là châu âu rồi còn gì
,Nó fan MU kích war để MU ko bị nói xấu
,Pháo Thủ cay hã kkk
,"Thethao247.vn chỉ là trang báo mạng xã hội, chẳng hiểu ntnao gọi là chính thống nữa. Theo ngôn ngữ của vài ông phóng viên thể thao, cụ thể là mấy ông K+ với mấy ông fan M.U thì cúp hiện tại chỉ được tính từ khi nó đổi tên. Nên thôi, a e chấp gì"
,Cái cúp đó mốc meo rồi
,Cay à
,Bổ sung Ảnh này là của năm 2025 thì mới đúng
,Nó nói đúng mà
,Cúp C2 sao ngon bằng cúp này của Pháo thủ
,cay hơn ăn ớt
,Viết đơn kiện lên liên hợp quốc liền em LN Bảo Phúc
,Cay hả ad ?
,"Xàm vãi, mấy cái cúp đó cũng tính nữa hả? Thừa nhận cái dở của mình thì mới khá lên được."
,"HLV đã nhảm, fan còn như này thì CLB này mãi đ có vị!"
,Hoàng Tiến Đạt ngao con cay rõ=)))
,Cái thằng ad thethao247 này nó chính hiệu là anti pháo đấy. Nó chỉ chờ cơ hội để vào cắn pháo thôi. Đã có lần tôi vào nói là nếu là fan đội nào thì đặt tên cho đúng còn lấy cái tên đại chúng như thế phải đăng bài mang tính đại chúng.
,"Cái trang 247 đấy tương tác có mấy đâu, sống nhờ kích động so sánh gây war thôi. Hơn thua với CN làm cái gì cho khổ ra"
,"Câu lạc bộ bóng đá Arsenal (tiếng Anh: Arsenal Football Club, viết tắt: Arsenal F.C.) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Holloway, Luân Đôn, Anh, hiện đang thi đấu tại Giải bóng đá Ngoại hạng Anh, giải đấu cấp cao nhất trong hệ thống… See more"
,thì có bằng người ta đâu mà
,Ad nó bên Mân đấy ae
,"Nó làm nội dung khịa thôi có gì phải xoắn lên làm gì. Cố tính tạo mấy content gây war một chút để lấy tương tác fan và anti fan thôi. Bỏ qua là được, hơi đâu đôi co : ))"
,"Mấy anh pháo trêu tot gà suốt, giờ bị trêu thì giãy lên"
,Cay cay cay
,Cup đâu cay thí khbiet cup đâu
,What do you think of sh*t? Arsenal!!
,What do you think of Arsenal? Sh*t
,Thank you … See more
,"Đây là nó nói năm nay , chứ có phải mọi thời đại đâu"
,Văn Thể pháo thủ mãi đỉnh
,Thằng báo này mê khịa Arsenal
,Cay :))
,"cái trang mất dậy này toàn khịa Pháo mà :)) lạ quái j. Chính page rách này là 1 trong những page up ảnh này để khịa Arsenal, và cuối cùng thì :)))"
,Hài vc
,Dm tot có 3 cup châu âu mà
,Mấy thằng dân ars
,rất nhảm arsenal từng vô địch c2 và c3
,"trang nào chả thế, phải câu fame bẩn mới sống được mà"
,Nguyễn Đức Duy uầy fan pháo đần của b cayy kìa
,Tao bỏ theo dõi cái page 247 đó lâu rồi. 1 lũ đần mà đòi viết báo.
,Tam đại tiểu nhị 0 cup
,CAYYYYYYYYYYYY HẸ HẸ HẸ
,Vãi cả báo vỉa hè.
,Mà pháo có danh hiệu cúp châu âu nào chưa nhỉ
,"Kém thì nhận kém , yêu thì cứ yêu sao cay như ăn ớt thế"
,Fan mờ mu mờ u Gửi lời chào đến phốn đào nhé
,Trứng dái xổ lô tô r
,Cúp... nhạy cảm vs fan arsenal :)) cay cay cay
,Cay
,Page rác đó chuyên đi gây war để kéo tương tác. Huỷ fl nó cho đỡ nhọc người
,"ars đã từng vô địch c2 châu âu , khi đó giải tên là UEFA Cup Winners' Cup"
,dc dc đấy mặc dù fan MU nhưng lên tiếng chửi bọn tot gà điii
,Đúng chứ gì nữa ... Cay
,đc cup c2 từ 1994 đến bây h vẫn ko thấy
,Cái thằng ad page này cũng noobbb cơ :))))
,Cái này sai tht.Tot có 3 cái cup C2 lận:)
,nghe bài trình chưa
,page tích xanh nhưng kiến thức thì không có làm ad
,The thao 24/7 Ad là fan mu cay quá bợ đít tot gà
,"Kệ đi nó giật tít gây sự chú ý mà ad, 1 cái danh hiệu làm sao xoá hết đc toàn bộ chiều dài lịch sử"
,Thảo Cay :)))
,Cay….
,Có thể là nó đang nói năm nay. Chứ có phải là từ quá khứ đến giờ đâu
,Anh em mình cứ thế thôi hẹ hẹ hẹ
,Cay.. thế nó nói sai à. Có cái cúp đéo nào đâu mà như đỉa phải vôi thế. Hạng 17 có cúp. Hạng 2 có cái con mẹ gì :))
,Ad là fan MU cay giùm à.
,vấn đề bên đấy còn sai do tot gà có 2 cup c2 trc đó nên tính đến bây h tot có 3 c2
,Mấy cái trang bú content vậy thì chặn luôn
,Cay à
,"Thôi trang nớ viết sai thì mình tạm thông cảm cho Ars đi, mình hứa sẽ không troll Arc hôm nay. Nhưng mà ""chú tư"" thì vẫn mãi là ""chú tư"" thôi!"
,"Nó là fan man đần mà, gáy to lắm"
,"Thuê đc thằng viết bài đáng đồng tiền thế còn gì hơn. Cần quái đúng sai,cái cần là càng trái chiều càng nhiều thằng vào cmt,chửi nhau loạn xạ là Gr tự khắc nhiều tương tác,còn fan Pháo thủ càng cay càng tương tác mạnh. Tăng lương thằng viết bài ."
,Pts thêm chữ mùa này vào là fan Pháo nó câm như hến thôi :))))
,Tot có này thôi
,Cúp bất bại big six là cup quý giá nhất
,Ông có coi quảng cáo chưa! Sai sự thật mà họ còn đua nhau mà mua. Đánh vô yếu tố hài hước để mang lại hiệu quả. Quan trọng họ thu hút được lượng tương tác! Còn ông cay cú là việc của ông. Ông cũng giống tui (fan Mu) là đều thua Tot Gà mà cũng chịu ôm cục tức đây
,Cho dù thế nào nữa mình mãi yêu arsenal tình yêu không thay đổi
,Thế chốt lại là cup đó có to hơn cup C2 ko?
,Thế là fan arsenal lại đi cổ vũ cho mu à
,Đúng còn gì nữa mà cay.
,Ngta có… See more
,Mà lòng cay cay cay...
,Thế danh hiệu châu âu của ars là dh nào v cho mik hỏi mik ko bt tht
,Hơn được Fulham mà
,mấy thằng đần pháo này mày cay cái gì có đúng là mùa này cm 0 dh châu âu k
,Tao nghĩ viễn cảnh 3 đội nó rước cup vòng quanh cái pháo tao vui
,Ko C1 ko C2 ko C3 cay à
,Cay thật nhưng éo có cúp thật
,Ars = Everton về số danh hiệu châu âu thôi
,Stay humble
,Nhưng phải công nhận Tot mùa này hơn mình về mặt thành tích.
,chắc chăn fan mu lol làm cái này
,Cay
,"Chel làm cái cup nữa thì, giáng sinh lại đến sớm với thành London"
,Đúng rồi ko tìm hiểu j cả tot có 3 cúp châu âu rồi
,Hẹ hẹ hẹ
,Quý page có đang hơi cay khum ạ
,Ủa tưởng trêu thôi mà ad căng thẳng quá
,Thì đã có đâu mad
,Pháo ĩa lên đầu nó hay sao mà cứ khịa miết
,"ủa m bị ngu hả ad, chỉ tao xem nó có nói từ năm nào tới năm nào ko mà cay thế"
,Cay đỏ dái
,Đỏ hết 2 hòn à ad
,a sê nan nhạy cảm vc
,Chắc Chelsea chuyển sang thành Mân rồi à? Pháo có 2 cup châu Âu rồi. Nhìn bài đăng biết fan đội đua trụ hạng rồi
,Thằng admin fan manci
,"Mờ u vô địch, trong lòng người hâm mộ"
,Top 2 prem ko có cup nên hơi cay hả ông bạn
,Có hẳn 2 danh hiệu nhá
,Thôi nào nín đi
,nằm trong nhóm xém rớt hạng mà tưởng đâu ngon
,"Thôi Ad ơi, chúng nó nói gì kệ đi, tranh cãi 1 cái cúp không ai nhớ thì vui vẻ gì. Xem đội bóng mình thích thi đấu là được."
,chắc là họ nói năm nay thôi chứ quá khứ móc lại làm j.nói quá khứ thì họ lại sai quá.bạn ovtk quá r
,Hên ko vô địch nó vô địch gáy ác
,Bọn đói tương tác mới đi làm ba content bèo
,Đếm cúp làm đek gì. Thách thằng nào làm kinh tế giỏi bằng arsenal tao
,Nói người ta “thiếu kiến thức” và “sai thông tin” rồi khuyên “uốn lưỡi 7 lần” và “tìm hiểu thật kỹ” thì bản thân mình cũng nên làm điều tương tự như thế bạn nhé.
,Thu mơ ăn 6 đông ăn 4
,Xuân bắt đầu buông hạ trắng tay
,Tot có 3 cái cúp c2 rồi mà
,Cuối tuần cả london đi diễu hành trừ...
,Tôi ghét nhất công kích kiểu này
,Thua nín
,câu view bẩn + tương tác tiêu cực miễn sao có tiền là được. quan tâm gì đạo đức
,Thua thì nín
,Cay thì chịu đi :))))
,"Page 247 là page ó c c.ho lâu rồi,"
,cay
,Đợt khịa real 5-1 thì giờ bị lại là chuyện thường tình
,Đúng rồi. Tot có 2 cái cup châu âu cơ mà. Trang này chả có kiến thức gì nhỉ
,AD là 1 con mân đàn.k lạ
,"lịch sử vẫn thua TOT , thậm chí TOT nó còn 3 cái CUP C2 :)))"
,Cay =)))))
,Báo ghi thiếu số 2025
,Nghe nó cứ cay cay gì ko á
,Riêng về sân si tăng động hoặc bị đao …. Fan Cứng Arsenal là số 2 đố ai dám nhận số 1
,Add này nên nhìn toàn cục… See more
,V chắc đúng
,Cay
,Thua thì nín
,Có mà
,"Ủa ngta có nói ""lịch sử CLB "" đâu :))))"
,chấp nhận thôi :)))
,Lêu lêu bọn đá hay nhất mạnh nhất mà bị loại.
,Nhường chai nước c2 cho mấy đứa. Chứ ham hố gì c2
,"lúc troll ng# cười khinh khích, lúc bị troll khóc rõ to"
,Arsenal về nhì mà
,Thôi mấy thằng pháo đần im mẹ mồm đi. Đúng là lũ nhà trẻ :))) đá đấm như B bị trêu lại còn văn vẻ
,Ơ cay cay cayyyy
,Cay
,Có chống cự nhưng không đáng kể :)))
,"Có cúp nè trời
."
,kệ đi mấy thk nhóc fan hùa
,Thethao247 có phải trang báo đâu ? Công thông tin điện tử mà
,A xê nồ vô địch C2 C3 thì có chứ chưa từng vô địch C1 thôi
,Chấp j bọn đần thua cay quá phải bú đít thằng tot :)))
,Suốt ngày kêu Mu ăn mày quá khứ trong khi lôi cái cup lozl j từ thời bố thằng ad đang ỉa đùn ra khoe. Đúng bọn pháo đầnn
,Mấy cúp từ thời napoleon à
,Pháo thủ cay nhất vn
,"Mịa, ko có cup nhưng được 90 củ c1, có cup c2 được có 30 củ, bên nào hơn"
,Tot có 3 cái c2 mà có phải 1 đâu
,Cúp thắng Real với cúp trong lòng người hâm mộ đâu. Tot :)))
,"Tạm nhi Arsenal
Chuông kỳ bu của b đều thật"
,"""Khôn nhà dại chợ"" là cái câu dành riêng cho Arsenal"
,"Nói tóm lại là "" cay "" cho nhanh dài dòng làm gì"
,"Thích so hết cúp châu âu thì Tot: 4, Ars: 1"
,Chắc cay lắm
,Chê MU giờ chỉ biết lôi cup ra đếm..Giờ pháo mang 1 cái c2 và 1 cái c3 trong hơn 100 năm ra để tự hào
,pháo 0 cay MU mới cay
,":)))) ars như lời ông bà t dặn ngày xưa khi đi học v . Ko có cúp , ko được cúp"
,Ý là page cũng cay hả
