Id,Comment,Label
1,Nhỏ không học lớn làm content?,0
3,Có thể đằng ấy muốn nói Arsenal chưa có danh hiệu Europa  League nhưng không có nghĩa là Arsenal chưa từng có danh hiệu CHÂU ÂU nào!,0
5,"Tôi hy vọng bài viết này đại diện cho những fan Arsenal gửi đến bạn làm cái content này rằng nếu muốn lên bài cà khịa hướng về một đội bóng nào đó thì nhớ UỐN LƯỠI 7 LẦN, TÌM HIỂU THẬT KỸ rồi hẳn lên bài nhé.",0
7,Cho những ai chưa biết lịch sử của Arsenal!,0
9,London ra châu âu thì pháo còn kém chel vs tot gà là thật,0
11,À cay cay cay,0
13,cay ah ??? cay thì ráng kiếm cup đi nhé,0
15,Nó nói gì sai vậy. Mời Ars post hình cup châu âu đã đạt dc,0
17,Thương Pháo lắm bị nó chơi 1 cú đau...,0
19,Có cup từ thời VN mình còn đag chống Pháp với Mỹ à,0
21,Nó fan MU kích war để MU ko bị nói xấu,0
23,"Thethao247.vn chỉ là trang báo mạng xã hội, chẳng hiểu ntnao gọi là chính thống nữa. Theo ngôn ngữ của vài ông phóng viên thể thao, cụ thể là mấy ông K+ với mấy ông fan M.U thì cúp hiện tại chỉ được tính từ khi nó đổi tên. Nên thôi, a e chấp gì",0
25,Cay à,0
27,Nó nói đúng mà,0
29,cay hơn ăn ớt,0
31,Cay hả ad ?,0
33,"HLV đã nhảm, fan còn như này thì CLB này mãi đ có vị!",1
35,Cái thằng ad thethao247 này nó chính hiệu là anti pháo đấy. Nó chỉ chờ cơ hội để vào cắn pháo thôi. Đã có lần tôi vào nói là nếu là fan đội nào thì đặt tên cho đúng còn lấy cái tên đại chúng như thế phải đăng bài mang tính đại chúng.,1
37,"Câu lạc bộ bóng đá Arsenal (tiếng Anh: Arsenal Football Club, viết tắt: Arsenal F.C.) là một câu lạc bộ bóng đá chuyên nghiệp có trụ sở tại Holloway, Luân Đôn, Anh, hiện đang thi đấu tại Giải bóng đá Ngoại hạng Anh, giải đấu cấp cao nhất trong hệ thống… See more",0
39,Ad nó bên Mân đấy ae,0
41,"Mấy anh pháo trêu tot gà suốt, giờ bị trêu thì giãy lên",0
43,Cup đâu cay thí khbiet cup đâu,0
45,What do you think of Arsenal? Sh*t,1
47,"Đây là nó nói năm nay , chứ có phải mọi thời đại đâu",0
49,Thằng báo này mê khịa Arsenal,1
51,"cái trang mất dậy này toàn khịa Pháo mà :)) lạ quái j. Chính page rách này là 1 trong những page up ảnh này để khịa Arsenal, và cuối cùng thì :)))",1
53,Dm tot có 3 cup châu âu mà,1
55,rất nhảm arsenal từng vô địch c2 và c3,1
57,Nguyễn Đức Duy uầy fan pháo đần của b cayy kìa,0
59,Tam đại tiểu nhị 0 cup,0
61,Vãi cả báo vỉa hè.,0
63,"Kém thì nhận kém , yêu thì cứ yêu sao cay như ăn ớt thế",0
65,Trứng dái xổ lô tô r,1
67,Cay,0
69,"ars đã từng vô địch c2 châu âu , khi đó giải tên là UEFA Cup Winners' Cup",0
71,Đúng chứ gì nữa ... Cay,0
73,Cái thằng ad page này cũng noobbb cơ :)))),1
75,nghe bài trình chưa,0
77,The thao 24/7 Ad là fan mu cay quá bợ đít tot gà,1
79,Thảo Cay :))),0
81,Có thể là nó đang nói năm nay. Chứ có phải là từ quá khứ đến giờ đâu,0
83,Cay.. thế nó nói sai à. Có cái cúp đéo nào đâu mà như đỉa phải vôi thế. Hạng 17 có cúp. Hạng 2 có cái con mẹ gì :)),1
