Id,Label,Comment
1,0,"Slayder, GAM cần anh."
2,0,"Dạ mỗi khi Gam cần, em luôn sẵn sèng!!"
3,0,"sờ ty lè k chỉ nhảy qua tường, sờ ty lè nhảy phát ra khỏi team luôn "
4,0,Mê cái cách anh này nhảy E
5,0,"Chúc mừng
Gam đã có kỳ chuyển nhượng thành công"
6,0,mê cái cách anh ấy nhảy e
7,0,Chuẩn thoát Pressing luônnn
8,0,"OK ! Chúc e Sơn thành công trong con đường tiếp theo, giờ thì hóng ad mới thôi."
9,0,V là GAM ko đc đầu tư đi tới cửa sân bay nữa r
10,0,Trận đó best gánh
11,2,"Nhiều thằng cứ hankay out hài vl  nó đc đôn lên là HLV tạm chứ vị trí chính vẫn là analyst, GAM có tuyển HLV thì cũng chả ảnh hưởng gì tới nó"
12,0,Tôi đã biết trước trước là MSI xong là sẽ có bài thank you tới từ vị trí Sty1e mà
13,0,"nếu đem Shogun về thì đem luôn Taki, 2 người đánh chung với nhau lâu rồi dễ kết hợp hơn"
14,1,thầy sty1e chắc là sang lck để hướng dẫn thằng peyz vs thằng guma cách đánh con zeri chứ 2 thằng này đánh ngu quá
15,0,Dũng Phạm SE với GAM giúp nhau thoát pressing
16,0,nghi thức hiến tế bắt đầu
17,1,ôi thật cảm động thế để hoá thân thành fan gam chứ vì khứa này tôi hơi anti gam một chút 
18,0,bị kick ác nhường chỗ cho tướng quân
19,0,t đợi cái bài thank you Kati mãi
20,0,mong mọi điều tốt nhất sẽ tới với sty1e !!
21,0,"Style lướt đỉnh quá, lướt phát out team luôn"
22,0,Mê cái cách anh style E qua nhảy qua tường thành nhảy ra khỏi team luôn 
23,0,Xong chính thức style ko có thêm cái cup nàoooo
24,1,"kick là đúg r , sắp CKTG thì tuyển thằng nào đánh adc chiến lên . meta adc mà đánh cứ rén rén ra TG để lót đường trông chán"
25,0,Vừa thoát pressing vừa thoát được cục tạ mùa sau làm Gam con thôi bạn Khoa Huỳnh
26,0,Mê cách anh này lướt e zeri
27,0,Ko coi VCS nhưng e ấn tượng con Zeri của a sờ tai ở msi lắm
28,0,Thank kiu katinat nữa
29,0,"không bất giờ lắm con chốt thí GAm thoát pressing trở lại mạnh mẽ mùa sau "" ra the gioi thua WC """
30,0,"chúc mừng
ad số 1 kênh hoàng luân "" ngài phong cách hụt 4 lính, one champ zeri e qua tường """
31,1,"Đáng ra phải cho khứa này đi từ hồi cktg về , chứ kh phải là sau MSI"
